store_id,sku_id,baseline_median,baseline_mad
1,P00002,2.9,0.01
1,P00004,11.32,0.01
1,P00005,4.45,0.01
1,P00006,7.27,0.01
1,P00008,5.15,0.01
1,P00009,2.66,0.01
1,P00010,4.96,0.01
1,P00011,2.72,0.01
1,P00012,7.03,0.01
1,P00013,8.66,0.01
1,P00014,5.67,0.01
1,P00015,6.11,0.01
1,P00016,9.25,0.01
1,P00017,6.88,0.01
1,P00018,2.79,0.01
1,P00019,3.49,0.01
1,P00020,1.92,0.01
1,P00021,11.05,0.01
1,P00022,4.42,0.01
1,P00023,2.51,0.01
1,P00024,3.15,0.01
1,P00025,3.61,0.01
1,P00026,4.7,0.01
1,P00027,6.8,0.01
1,P00028,2.32,0.01
1,P00029,3.12,0.01
1,P00030,11.72,0.01
1,P00031,9.76,0.01
1,P00032,3.18,0.01
1,P00033,5.07,0.01
1,P00034,3.5,0.01
1,P00035,10.35,0.01
1,P00036,4.42,0.01
1,P00037,4.86,0.01
1,P00038,2.31,0.01
1,P00039,7.1,0.01
1,P00040,3.82,0.01
1,P00041,4.29,0.01
1,P00042,8.42,0.01
1,P00043,3.28,0.01
1,P00044,5.53,0.01
1,P00045,7.93,0.01
1,P00046,10.35,0.01
1,P00047,3.58,0.01
1,P00048,6.5,0.01
1,P00049,2.84,0.01
1,P00050,9.84,0.01
1,P00051,6.54,0.01
1,P00052,5.29,0.01
1,P00053,3.77,0.01
1,P00054,7.6,0.01
1,P00055,9.22,0.01
1,P00056,4.46,0.01
1,P00057,2.52,0.01
1,P00058,11.06,0.01
1,P00059,7.0,0.01
1,P00060,9.61,0.01
1,P00061,4.91,0.01
1,P00062,5.4,0.01
1,P00064,7.19,0.01
1,P00065,8.53,0.01
1,P00067,2.17,0.01
1,P00068,2.48,0.01
1,P00069,9.14,0.01
1,P00070,5.55,0.01
1,P00071,3.34,0.01
1,P00072,3.77,0.01
1,P00073,10.65,0.01
1,P00074,3.62,0.01
1,P00075,4.97,0.01
1,P00076,2.11,0.01
1,P00077,2.73,0.01
1,P00078,6.08,0.01
1,P00079,6.11,0.01
1,P00080,3.56,0.01
1,P00081,9.54,0.01
1,P00082,17.68,0.01
1,P00083,9.87,0.01
1,P00084,6.46,0.01
1,P00085,7.35,0.01
1,P00086,4.78,0.01
1,P00087,2.34,0.01
1,P00088,6.81,0.01
1,P00089,3.73,0.01
1,P00090,3.04,0.01
1,P00091,3.42,0.01
1,P00092,2.69,0.01
1,P00093,5.91,0.01
1,P00094,6.89,0.01
1,P00095,3.23,0.01
1,P00096,5.86,0.01
1,P00097,3.99,0.01
1,P00098,3.38,0.01
1,P00099,5.09,0.01
1,P00100,5.48,0.01
1,P00101,5.09,0.01
1,P00102,3.88,0.01
1,P00103,2.82,0.01
1,P00104,2.07,0.01
1,P00105,4.41,0.01
1,P00106,3.27,0.01
1,P00107,2.51,0.01
1,P00108,5.03,0.01
1,P00109,7.02,0.01
1,P00110,5.65,0.01
1,P00111,9.18,0.01
1,P00112,3.95,0.01
1,P00113,4.26,0.01
1,P00114,3.59,0.01
1,P00115,2.81,0.01
1,P00116,6.87,0.01
1,P00117,5.66,0.01
1,P00118,6.16,0.01
1,P00119,4.75,0.01
1,P00120,2.56,0.01
1,P00121,2.41,0.01
1,P00122,3.12,0.01
1,P00124,3.38,0.01
1,P00125,3.28,0.01
1,P00126,3.25,0.01
1,P00128,7.39,0.01
1,P00129,3.98,0.01
1,P00130,9.17,0.01
1,P00131,15.23,0.01
1,P00132,7.06,0.01
1,P00133,2.06,0.01
1,P00134,6.13,0.01
1,P00135,16.05,0.01
1,P00136,1.57,0.01
1,P00137,8.0,0.01
1,P00138,3.94,0.01
1,P00139,2.09,0.01
1,P00140,5.33,0.01
1,P00141,4.55,0.01
1,P00142,6.8,0.01
1,P00143,2.11,0.01
1,P00144,8.38,0.01
1,P00145,3.69,0.01
1,P00146,2.43,0.01
1,P00147,3.97,0.01
1,P00148,4.35,0.01
1,P00149,3.11,0.01
1,P00150,2.97,0.01
1,P00151,1.82,0.01
1,P00152,3.77,0.01
1,P00153,5.95,0.01
1,P00154,9.06,0.01
1,P00155,10.98,0.01
1,P00156,5.03,0.01
1,P00157,7.26,0.01
1,P00158,8.5,0.01
1,P00159,1.56,0.01
1,P00160,6.19,0.01
1,P00162,2.1,0.01
