store_id,store_name,latitude,longitude,sku_id,price,baseline_median,delta,pct_change,zscore_mad,precip_mm_24h,exposed,flagged
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P00160,6.19,3.5900000000000003,2.6,0.724233983286908,0.6744907594765951,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P01037,13.47,10.105,3.365,0.3330034636318655,0.6744907594765952,60.0,True,True
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P01046,11.9,12.06,-0.16000000000000014,-0.013266998341625258,-10.791852151625534,60.0,True,True
2,Mancino Market - NoHo,40.7266,-73.9917,P00156,4.94,5.03,-0.08999999999999986,-0.017892644135188873,-6.070416835289348,60.0,True,True
2,Mancino Market - NoHo,40.7266,-73.9917,P01316,13.06,13.33,-0.2699999999999996,-0.02025506376594144,-18.21125050586804,60.0,True,True
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P01401,9.46,9.71,-0.25,-0.025746652935118464,-16.86226898691488,60.0,True,True
1,Mancino Market - Midtown,40.75971,-73.96616,P01322,9.19,9.46,-0.27000000000000135,-0.02854122621564492,-18.21125050586816,60.0,True,True
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P00945,3.92,4.04,-0.1200000000000001,-0.02970297029702973,-8.09388911371915,60.0,True,True
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P01377,4.5,4.64,-0.13999999999999968,-0.030172413793103425,-9.442870632672312,60.0,True,True
2,Mancino Market - NoHo,40.7266,-73.9917,P00378,2.87,2.96,-0.08999999999999986,-0.030405405405405372,-6.070416835289348,60.0,True,True
3,Mancino Market - Chelsea,40.742352,-74.00621,P01203,11.59,12.07,-0.4800000000000004,-0.03976801988401002,-32.3755564548766,60.0,True,True
1,Mancino Market - Midtown,40.75971,-73.96616,P00627,2.92,3.05,-0.1299999999999999,-0.042622950819672045,-8.76837987319573,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P00974,8.21,8.58,-0.3699999999999992,-0.04312354312354305,-24.95615810063397,60.0,True,True
3,Mancino Market - Chelsea,40.742352,-74.00621,P00353,6.33,6.65,-0.3200000000000003,-0.048120300751879785,-21.583704303251068,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P01176,3.89,4.09,-0.19999999999999973,-0.048899755501222386,-13.489815189531887,60.0,True,True
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P00488,12.54,13.2,-0.6600000000000001,-0.050000000000000044,-44.516390125455295,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P00627,2.89,3.05,-0.1599999999999997,-0.052459016393442526,-10.791852151625504,60.0,True,True
1,Mancino Market - Midtown,40.75971,-73.96616,P01311,7.16,7.56,-0.39999999999999947,-0.052910052910052796,-26.979630379063774,60.0,True,True
1,Mancino Market - Midtown,40.75971,-73.96616,P00188,7.61,8.04,-0.4299999999999988,-0.05348258706467646,-29.003102657493514,60.0,True,True
2,Mancino Market - NoHo,40.7266,-73.9917,P01176,3.87,4.09,-0.21999999999999975,-0.05378973105134466,-14.838796708485079,60.0,True,True
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P00206,2.32,2.46,-0.14000000000000012,-0.056910569105691144,-9.442870632672342,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P00536,4.74,5.04,-0.2999999999999998,-0.059523809523809534,-20.234722784297844,60.0,True,True
3,Mancino Market - Chelsea,40.742352,-74.00621,P00203,2.49,2.67,-0.17999999999999972,-0.0674157303370786,-12.140833670578695,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P00948,10.23,10.99,-0.7599999999999998,-0.06915377616014562,-51.26129772022122,60.0,True,True
2,Mancino Market - NoHo,40.7266,-73.9917,P00110,5.24,5.65,-0.41000000000000014,-0.072566371681416,-27.654121138540415,60.0,True,True
4,Mancino Market - Greenwich Village,40.733037,-73.99976,P00462,3.29,3.56,-0.27,-0.0758426966292135,-18.211250505868072,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P00577,2.98,3.29,-0.31000000000000005,-0.0942249240121581,-20.909213543774456,60.0,True,True
5,Mancino Market - Nolita,40.72139,-73.99545,P01046,10.89,12.06,-1.17,-0.09701492537313428,-78.91541885876164,60.0,True,True
